SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.13,1.22,0.0796,23.0,17.0,-0.2609,0.59,0.34,-0.4237,7374.0,8016.0,0.0871,4351.0,2725.0,-0.3737,39.0,50.0,0.2821
1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.27,1.19,-0.063,11.0,9.0,-0.1818,0.73,0.75,0.0274,11764.0,10307.0,-0.1239,8588.0,7730.0,-0.0999,15.0,12.0,-0.2
1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.14,-0.088,8.0,14.33,0.7912,0.57,0.38,-0.3333,8738.0,7579.0,-0.1326,4981.0,2880.0,-0.4218,14.0,38.0,1.7143
1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.16,1.41,0.2155,341.0,200.67,-0.4115,0.88,0.44,-0.5,6232.0,7385.0,0.185,5484.0,3249.0,-0.4075,389.0,451.0,0.1594
1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.13,-0.0583,12.5,15.0,0.2,0.54,0.39,-0.2778,11208.0,10571.0,-0.0568,6052.0,4123.0,-0.3187,23.0,38.0,0.6522
1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.14,1.22,0.0702,294.0,78.0,-0.7347,0.92,0.44,-0.5217,15731.0,13247.0,-0.1579,14473.0,5829.0,-0.5973,319.0,177.0,-0.4451
1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,5.25,1.92,-0.6343,51.5,46.67,-0.0938,0.57,0.37,-0.3509,16976.0,9654.0,-0.4313,9676.0,3572.0,-0.6308,91.0,127.0,0.3956
1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.85,1.89,0.0216,739.5,718.67,-0.0282,0.69,0.52,-0.2464,6343.0,6495.0,0.024,4377.0,3377.0,-0.2285,1070.0,1394.0,0.3028
1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.79,1.74,-0.0279,248.0,287.33,0.1586,0.77,0.56,-0.2727,10983.0,11308.0,0.0296,8457.0,6332.0,-0.2513,322.0,510.0,0.5839
1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,2.37,2.02,-0.1477,110.0,110.67,0.0061,0.69,0.49,-0.2899,11934.0,11710.0,-0.0188,8234.0,5738.0,-0.3031,159.0,225.0,0.4151
1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.19,1.23,0.0336,44.0,45.0,0.0227,0.57,0.41,-0.2807,10084.0,10513.0,0.0425,5748.0,4310.0,-0.2502,77.0,109.0,0.4156
1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.39,1.22,-0.1223,63.5,79.67,0.2546,0.54,0.4,-0.2593,8780.0,7142.0,-0.1866,4741.0,2857.0,-0.3974,118.0,199.0,0.6864
1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.25,1.32,0.056,213.0,204.0,-0.0423,0.64,0.44,-0.3125,11896.0,13567.0,0.1405,7613.0,5969.0,-0.2159,331.0,467.0,0.4109
1114D - ISOTONIC DRINK CAN 330ML,1114 - ISOTONIC DRINK,CHILLER,2.0,1.11,-0.445,2.0,3.0,0.5,0.5,0.33,-0.34,13700.0,7556.0,-0.4485,6850.0,2493.0,-0.6361,4.0,9.0,1.25
1114E - ISOTONIC DRINK PET 900ML-1.5L,1114 - ISOTONIC DRINK,CHILLER,1.03,1.07,0.0388,18.0,24.67,0.3706,0.53,0.37,-0.3019,18214.0,18285.0,0.0039,9653.0,6765.0,-0.2992,34.0,67.0,0.9706
1114F - ISOTONIC DRINK PET 2L,1114 - ISOTONIC DRINK,CHILLER,1.29,1.38,0.0698,10.5,7.0,-0.3333,0.7,0.37,-0.4714,30329.0,33471.0,0.1036,21230.0,12384.0,-0.4167,15.0,19.0,0.2667
1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.33,1.37,0.0301,146.5,152.67,0.0421,0.59,0.44,-0.2542,10385.0,11063.0,0.0653,6127.0,4868.0,-0.2055,247.0,346.0,0.4008
1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.38,1.32,-0.0435,64.5,61.33,-0.0491,0.6,0.38,-0.3667,11364.0,11219.0,-0.0128,6818.0,4263.0,-0.3747,108.0,160.0,0.4815
1115D - REMEDIES DRINK PET 500-600ML,1115 - REMEDIES DRINK,CHILLER,1.32,1.3,-0.0152,36.0,36.67,0.0186,0.55,0.39,-0.2909,11557.0,11295.0,-0.0227,6356.0,4405.0,-0.307,65.0,95.0,0.4615
1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.43,1.37,-0.042,203.5,158.33,-0.222,0.6,0.4,-0.3333,11064.0,10792.0,-0.0246,6638.0,4317.0,-0.3497,341.0,399.0,0.1701
1116B - VITAMIN DRINK 300-500ML,1116 - VITAMIN DRINK,CHILLER,1.63,1.69,0.0368,15.0,28.0,0.8667,0.6,0.46,-0.2333,12397.0,12844.0,0.0361,7438.0,5908.0,-0.2057,25.0,61.0,1.44
1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.44,2.06,0.4306,13.5,10.67,-0.2096,0.59,0.38,-0.3559,14507.0,20419.0,0.4075,8559.0,7759.0,-0.0935,23.0,28.0,0.2174
1118A - CARBONATED MALT,1118 - CARBONATED MALT,CHILLER,1.51,2.5,0.6556,19.5,28.67,0.4703,0.67,0.46,-0.3134,12421.0,18271.0,0.471,8322.0,8405.0,0.01,29.0,62.0,1.1379
1118B - CARBONATED MALT PACK,1118 - CARBONATED MALT,CHILLER,1.0,1.5,0.5,0.5,1.33,1.66,0.5,0.33,-0.34,7900.0,11925.0,0.5095,3950.0,3935.0,-0.0038,1.0,4.0,3.0
1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.3,1.28,-0.0154,61.0,50.0,-0.1803,0.68,0.44,-0.3529,11646.0,11639.0,-0.0006,7919.0,5121.0,-0.3533,90.0,113.0,0.2556
1151B - JUICE TETRAPACK 125-150ML,1151 - RTD JUICE,CHILLER,1.2,1.3,0.0833,10.0,3.33,-0.667,0.71,0.48,-0.3239,4930.0,5320.0,0.0791,3500.0,2554.0,-0.2703,14.0,7.0,-0.5
1151C - JUICE TETRAPACK 200ML,1151 - RTD JUICE,CHILLER,1.4,1.43,0.0214,7.5,12.33,0.644,0.58,0.47,-0.1897,11900.0,12176.0,0.0232,6902.0,5723.0,-0.1708,13.0,26.0,1.0
1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.4,1.55,0.1071,67.0,70.67,0.0548,0.61,0.42,-0.3115,9887.0,11614.0,0.1747,6031.0,4878.0,-0.1912,109.0,169.0,0.5505
1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.03,1.3,0.2621,97.5,7.67,-0.9213,0.84,0.4,-0.5238,15608.0,25817.0,0.6541,13111.0,10327.0,-0.2123,116.0,19.0,-0.8362
1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.25,1.21,-0.032,677.5,177.67,-0.7378,1.06,0.42,-0.6038,9210.0,13832.0,0.5018,9763.0,5809.0,-0.405,642.0,421.0,-0.3442
1151H - JUICE CAN 230-350ML,1151 - RTD JUICE,CHILLER,1.42,1.17,-0.1761,19.0,15.33,-0.1932,0.51,0.35,-0.3137,16603.0,13859.0,-0.1653,8468.0,4851.0,-0.4271,37.0,44.0,0.1892
1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,1.89,2.05,0.0847,30.5,34.0,0.1148,0.64,0.45,-0.2969,7052.0,12871.0,0.8252,4513.0,5792.0,0.2834,48.0,75.0,0.5625
1154B - RTD TEA TETRAPACK 250-500ML,1154 - RTD TEA,CHILLER,2.85,2.2,-0.2281,88.5,30.33,-0.6573,0.55,0.39,-0.2909,10325.0,8177.0,-0.208,5679.0,3189.0,-0.4385,160.0,78.0,-0.5125
1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.28,2.14,0.6719,376.5,197.67,-0.475,0.71,0.45,-0.3662,4993.0,8459.0,0.6942,3545.0,3807.0,0.0739,528.0,439.0,-0.1686
1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.29,1.8,0.3953,76.5,290.33,2.7952,0.56,0.6,0.0714,9031.0,11893.0,0.3169,5057.0,7136.0,0.4111,137.0,485.0,2.5401
1154G - RTD TEA CAN,1154 - RTD TEA,CHILLER,2.0,1.5,-0.25,4.0,2.0,-0.5,0.57,0.33,-0.4211,11550.0,9200.0,-0.2035,6583.0,3036.0,-0.5388,7.0,6.0,-0.1429
1154J - RTD TEA PET >=1000ML,1154 - RTD TEA,CHILLER,1.04,1.07,0.0288,26.5,13.67,-0.4842,0.56,0.39,-0.3036,17294.0,17337.0,0.0025,9685.0,6761.0,-0.3019,47.0,35.0,-0.2553
1154K - RTD MILK TEA PET,1154 - RTD TEA,CHILLER,1.51,1.33,-0.1192,62.0,47.0,-0.2419,0.64,0.41,-0.3594,12768.0,11795.0,-0.0762,8172.0,4836.0,-0.4082,97.0,116.0,0.1959
1154L - RTD TEA LESS SUGAR,1154 - RTD TEA,CHILLER,1.28,1.3,0.0156,32.0,39.67,0.2397,0.58,0.43,-0.2586,5393.0,5647.0,0.0471,3128.0,2428.0,-0.2238,55.0,93.0,0.6909
1156A - RTD COFFEE TETRAPACK,1156 - RTD COFFEE,CHILLER,1.12,1.23,0.0982,12.5,17.33,0.3864,0.5,0.38,-0.24,8248.0,9062.0,0.0987,4124.0,3444.0,-0.1649,25.0,46.0,0.84
"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.46,1.32,-0.0959,379.0,351.0,-0.0739,0.69,0.48,-0.3043,10079.0,8810.0,-0.1259,6955.0,4229.0,-0.3919,553.0,732.0,0.3237
2022A - SPECIALTY LIQUID MILK,2022 - SPECIALTY LIQUID MILK,CHILLER,2.26,2.11,-0.0664,23.5,36.67,0.5604,0.6,0.5,-0.1667,21311.0,21905.0,0.0279,12787.0,10952.0,-0.1435,39.0,74.0,0.8974
2023A - TETRAPAK LIQUID MILK 100-130ML,2023 - TETRAPACK LIQUID MILK,CHILLER,2.45,3.01,0.2286,534.5,554.67,0.0377,0.78,0.56,-0.2821,10171.0,11843.0,0.1644,7933.0,6632.0,-0.164,686.0,994.0,0.449
2023B - TETRAPAK LIQUID MILK 160-200ML,2023 - TETRAPACK LIQUID MILK,CHILLER,1.62,1.6,-0.0123,274.0,237.67,-0.1326,0.63,0.43,-0.3175,10334.0,10185.0,-0.0144,6510.0,4380.0,-0.3272,433.0,557.0,0.2864
2023C - TETRAPAK LIQUID MILK 220-250ML,2023 - TETRAPACK LIQUID MILK,CHILLER,1.55,1.48,-0.0452,489.0,545.33,0.1152,0.65,0.48,-0.2615,11463.0,10984.0,-0.0418,7451.0,5272.0,-0.2924,748.0,1125.0,0.504
2023F - TETRAPAK LIQUID MILK CARTON,2023 - TETRAPACK LIQUID MILK,CHILLER,1.27,1.06,-0.1654,16.5,23.33,0.4139,0.72,0.71,-0.0139,167573.0,135661.0,-0.1904,120653.0,96319.0,-0.2017,23.0,33.0,0.4348
2024A - CAN LIQUID MILK,2024 - BOTTLE - CAN LIQUID MILK,CHILLER,3.37,2.69,-0.2018,274.5,279.33,0.0176,0.65,0.46,-0.2923,39318.0,29561.0,-0.2482,25557.0,13598.0,-0.4679,423.0,601.0,0.4208
2024C - BOTTLE LIQUID MILK 160-310ML,2024 - BOTTLE - CAN LIQUID MILK,CHILLER,1.35,3.42,1.5333,145.5,161.67,0.1111,0.58,0.42,-0.2759,11503.0,16857.0,0.4654,6672.0,7080.0,0.0612,253.0,384.0,0.5178
2025A - PLANT BASED MILK 190-350ML,2025 - PLANT BASED LIQUID MILK,CHILLER,1.4,1.45,0.0357,81.0,96.33,0.1893,0.65,0.47,-0.2769,11609.0,13533.0,0.1657,7546.0,6361.0,-0.157,125.0,205.0,0.64
2025B - PLANT BASED MILK 1L,2025 - PLANT BASED LIQUID MILK,CHILLER,,1.14,,,7.0,,,1.17,,,35733.0,,,41808.0,,,6.0,
6212A - YOGHURT PACK,6212 - YOGHURT,CHILLER,1.22,1.2,-0.0164,160.0,163.67,0.0229,0.63,0.49,-0.2222,12848.0,12784.0,-0.005,8094.0,6264.0,-0.2261,254.0,331.0,0.3031
6212B - YOGHURT LIQUID 70-80G,6212 - YOGHURT,CHILLER,2.76,2.52,-0.087,155.0,144.33,-0.0688,0.61,0.43,-0.2951,8385.0,7552.0,-0.0993,5115.0,3247.0,-0.3652,255.0,338.0,0.3255
6212C - YOGHURT LIQUID 100-330ML,6212 - YOGHURT,CHILLER,1.35,1.33,-0.0148,255.5,217.67,-0.1481,0.64,0.42,-0.3438,12592.0,12382.0,-0.0167,8059.0,5200.0,-0.3548,399.0,519.0,0.3008
6218A - PUDDING CUP 85-150ML,6218 - PUDDING,CHILLER,2.16,,,16.0,,,0.73,,,11931.0,,,8710.0,,,22.0,,
6218C - SOFT PUDDING,6218 - PUDDING,CHILLER,1.21,1.29,0.0661,19.5,52.0,1.6667,0.56,0.48,-0.1429,9038.0,9712.0,0.0746,5061.0,4662.0,-0.0788,35.0,109.0,2.1143
6226A - CHILLED MEAT BALLS,6226 - CHILLED MEAT BALLS,CHILLER,1.32,1.28,-0.0303,130.0,106.67,-0.1795,0.65,0.41,-0.3692,11775.0,11403.0,-0.0316,7654.0,4675.0,-0.3892,200.0,258.0,0.29
6227A - CHILLED SAUSAGES,6227 - CHILLED SAUSAGES,CHILLER,1.61,1.67,0.0373,718.5,684.33,-0.0476,0.71,0.52,-0.2676,14423.0,14905.0,0.0334,10240.0,7751.0,-0.2431,1006.0,1304.0,0.2962
2011A - FAMILY MILK 200-400G,2011 - FAMILY MILK,MILK & DIAPERS,1.06,1.1,0.0377,78.0,80.0,0.0256,0.62,0.45,-0.2742,43916.0,48317.0,0.1002,27228.0,21743.0,-0.2014,126.0,177.0,0.4048
2011B - FAMILY MILK  600-800G,2011 - FAMILY MILK,MILK & DIAPERS,1.26,1.15,-0.0873,68.5,76.33,0.1143,0.68,0.53,-0.2206,120340.0,112179.0,-0.0678,81831.0,59455.0,-0.2734,101.0,144.0,0.4257
2011C - FAMILY MILK  PACK,2011 - FAMILY MILK,MILK & DIAPERS,1.0,1.39,0.39,11.0,7.67,-0.3027,1.57,0.55,-0.6497,108768.0,152113.0,0.3985,170766.0,83662.0,-0.5101,7.0,14.0,1.0
2012A - TEENS MILK  200-400G,2012 - TEENS MILK,MILK & DIAPERS,1.09,1.14,0.0459,112.0,121.67,0.0863,0.67,0.52,-0.2239,53578.0,55409.0,0.0342,35897.0,28813.0,-0.1973,168.0,233.0,0.3869
2012B - TEENS MILK  500-800G,2012 - TEENS MILK,MILK & DIAPERS,1.13,1.16,0.0265,65.0,61.67,-0.0512,0.75,0.5,-0.3333,91761.0,94783.0,0.0329,68821.0,47392.0,-0.3114,87.0,124.0,0.4253
2012C - TEENS MILK  850-1000G,2012 - TEENS MILK,MILK & DIAPERS,1.52,2.71,0.7829,64.5,33.33,-0.4833,10.75,2.38,-0.7786,149758.0,274217.0,0.8311,1609898.0,652636.0,-0.5946,6.0,14.0,1.3333
2012D - TEENS MILK PACK,2012 - TEENS MILK,MILK & DIAPERS,1.18,1.05,-0.1102,19.0,21.33,0.1226,0.68,0.43,-0.3676,77913.0,68127.0,-0.1256,52981.0,29295.0,-0.4471,28.0,50.0,0.7857
2013A - HI-CAL MILK  150-350G,2013 - HI-CALCIUM MILK,MILK & DIAPERS,1.17,1.13,-0.0342,69.0,50.67,-0.2657,0.62,0.43,-0.3065,52866.0,53332.0,0.0088,32777.0,22933.0,-0.3003,111.0,118.0,0.0631
2013B - HI-CAL MILK  400-650G,2013 - HI-CALCIUM MILK,MILK & DIAPERS,1.13,1.06,-0.0619,59.0,57.0,-0.0339,0.6,0.46,-0.2333,128046.0,117027.0,-0.0861,76828.0,53832.0,-0.2993,99.0,125.0,0.2626
2013C - HI-CAL MILK 700-1000G,2013 - HI-CALCIUM MILK,MILK & DIAPERS,1.17,1.17,0.0,17.5,23.33,0.3331,0.55,0.44,-0.2,255726.0,242926.0,-0.0501,140649.0,106887.0,-0.24,32.0,53.0,0.6562
2014A - TONIC MILK,2014 - TONIC MILK,MILK & DIAPERS,1.1,1.11,0.0091,20.0,11.67,-0.4165,1.25,0.4,-0.68,93390.0,94603.0,0.013,116738.0,37841.0,-0.6758,16.0,29.0,0.8125
2014B - TONIC MILK PACK,2014 - TONIC MILK,MILK & DIAPERS,1.0,1.24,0.24,0.5,5.67,10.34,0.5,0.94,0.88,44000.0,54600.0,0.2409,22000.0,51324.0,1.3329,1.0,6.0,5.0
2015A - DIETATIC MILK,2015 - DIETATIC MILK,MILK & DIAPERS,1.5,1.0,-0.3333,1.0,1.67,0.67,0.5,0.56,0.12,125250.0,89340.0,-0.2867,62625.0,50030.0,-0.2011,2.0,3.0,0.5
2016A - DIABETIC MILK,2016 - DIABETIC MILK,MILK & DIAPERS,1.15,1.29,0.1217,20.0,25.0,0.25,0.77,0.53,-0.3117,96715.0,115517.0,0.1944,74471.0,61224.0,-0.1779,26.0,47.0,0.8077
2111A - INFANT MILK MAINSTREAM BOX 150-200G,2111 - INFANT MILK MAINSTREAM,MILK & DIAPERS,1.76,1.58,-0.1023,40.0,26.33,-0.3418,0.82,0.53,-0.3537,25329.0,24156.0,-0.0463,20770.0,12803.0,-0.3836,49.0,50.0,0.0204
2111B - INFANT MILK MAINSTREAM BOX 400-600G,2111 - INFANT MILK MAINSTREAM,MILK & DIAPERS,1.05,1.12,0.0667,28.0,40.67,0.4525,0.8,0.64,-0.2,54455.0,56204.0,0.0321,43564.0,35971.0,-0.1743,35.0,64.0,0.8286
2111C - INFANT MILK MAINSTREAM BOX 750-1000G,2111 - INFANT MILK MAINSTREAM,MILK & DIAPERS,1.25,1.08,-0.136,25.5,25.33,-0.0067,0.91,0.77,-0.1538,118359.0,101712.0,-0.1406,107707.0,78318.0,-0.2729,28.0,33.0,0.1786
2111D - INFANT SPECIALITY MILK MAINSTREAM,2111 - INFANT MILK MAINSTREAM,MILK & DIAPERS,1.0,1.4,0.4,1.0,3.33,2.33,0.5,0.56,0.12,31450.0,44030.0,0.4,15725.0,24657.0,0.568,2.0,6.0,2.0
2112A - INFANT MILK PREMIUM BOX 150-200G,2112 - INFANT MILK PREMIUM,MILK & DIAPERS,1.23,1.14,-0.0732,34.5,30.67,-0.111,0.91,0.57,-0.3736,45406.0,40561.0,-0.1067,41319.0,23120.0,-0.4405,38.0,54.0,0.4211
2112B - INFANT MILK PREMIUM BOX 350-750G,2112 - INFANT MILK PREMIUM,MILK & DIAPERS,1.16,1.14,-0.0172,51.5,60.33,0.1715,0.87,0.83,-0.046,111473.0,114823.0,0.0301,96982.0,95303.0,-0.0173,59.0,73.0,0.2373
2112C - INFANT MILK PREMIUM CAN,2112 - INFANT MILK PREMIUM,MILK & DIAPERS,1.2,1.19,-0.0083,22.5,16.0,-0.2889,0.9,0.73,-0.1889,177960.0,176106.0,-0.0104,160164.0,128557.0,-0.1973,25.0,22.0,-0.12
2113A - INFANT MILK SUPER PREMUM BOX 400G,2113 - INFANT MILK SUPER PREMIUM,MILK & DIAPERS,1.06,1.03,-0.0283,8.0,12.67,0.5838,1.0,0.84,-0.16,228362.0,174345.0,-0.2365,228362.0,146450.0,-0.3587,8.0,15.0,0.875
2113B - INFANT MILK SUPER PREMIUM CAN 400G,2113 - INFANT MILK SUPER PREMIUM,MILK & DIAPERS,1.07,1.0,-0.0654,13.5,13.0,-0.037,1.12,0.65,-0.4196,188493.0,178564.0,-0.0527,211112.0,116067.0,-0.4502,12.0,20.0,0.6667
2113C - INFANT MILK SUPER PREMIUM CAN 800-1000G,2113 - INFANT MILK SUPER PREMIUM,MILK & DIAPERS,2.0,2.5,0.25,1.0,0.67,-0.33,0.5,0.67,0.34,775000.0,968750.0,0.25,387500.0,649062.0,0.675,2.0,1.0,-0.5
2114A - FOLLOW ON MILK MAINSTREAM BOX 150-200G,2114 - FOLLOW ON MILK MAINSTREAM,MILK & DIAPERS,1.57,2.12,0.3503,48.5,43.0,-0.1134,1.08,0.84,-0.2222,24149.0,31137.0,0.2894,26081.0,26155.0,0.0028,45.0,51.0,0.1333
2114B - FOLLOW ON MILK MAINSTREAM BOX 350-600G,2114 - FOLLOW ON MILK MAINSTREAM,MILK & DIAPERS,1.01,1.05,0.0396,37.0,35.33,-0.0451,1.06,0.68,-0.3585,50982.0,55145.0,0.0817,54041.0,37499.0,-0.3061,35.0,52.0,0.4857
2114C - FOLLOW ON MILK MAINSTREAM BOX 700-1000G,2114 - FOLLOW ON MILK MAINSTREAM,MILK & DIAPERS,1.19,1.13,-0.0504,29.0,25.67,-0.1148,0.91,0.55,-0.3956,111574.0,106148.0,-0.0486,101532.0,58381.0,-0.425,32.0,47.0,0.4688
2114D - FOLLOW ON SPECIALITY MILK MAINSTREAM,2114 - FOLLOW ON MILK MAINSTREAM,MILK & DIAPERS,1.08,1.0,-0.0741,6.5,5.0,-0.2308,0.93,1.25,0.3441,67738.0,62953.0,-0.0706,62996.0,78691.0,0.2491,7.0,4.0,-0.4286
2115A - FOLLOW ON MILK PREMIUM BOX 150-200G,2115 - FOLLOW ON MILK PREMIUM,MILK & DIAPERS,1.26,1.27,0.0079,40.0,35.67,-0.1082,0.83,0.65,-0.2169,49609.0,49903.0,0.0059,41175.0,32437.0,-0.2122,48.0,55.0,0.1458
2115B - FOLLOW ON MILK PREMIUM BOX 300-1000G,2115 - FOLLOW ON MILK PREMIUM,MILK & DIAPERS,1.14,1.16,0.0175,51.5,48.67,-0.055,1.2,0.72,-0.4,103148.0,116678.0,0.1312,123778.0,84008.0,-0.3213,43.0,68.0,0.5814
2115C - FOLLOW ON MILK PREMIUM CAN 800-900G,2115 - FOLLOW ON MILK PREMIUM,MILK & DIAPERS,1.24,1.36,0.0968,27.0,19.67,-0.2715,0.82,0.5,-0.3902,207709.0,247185.0,0.1901,170321.0,123592.0,-0.2744,33.0,39.0,0.1818
2116A - FOLLOW ON MILK SUPER PREMIUM BOX 350-600G,2116 - FOLLOW ON MILK SUPER PREMIUM,MILK & DIAPERS,1.14,1.07,-0.0614,29.0,38.33,0.3217,1.32,1.2,-0.0909,185974.0,190485.0,0.0243,245486.0,228582.0,-0.0689,22.0,32.0,0.4545
2116B - FOLLOW ON MILK SUPER PREMIUM CAN 400G,2116 - FOLLOW ON MILK SUPER PREMIUM,MILK & DIAPERS,1.16,1.07,-0.0776,16.0,25.0,0.5625,0.84,0.89,0.0595,220541.0,200931.0,-0.0889,185254.0,178829.0,-0.0347,19.0,28.0,0.4737
2116C - FOLLOW ON MILK SUPPER PREMIUM CAN >800G,2116 - FOLLOW ON MILK SUPER PREMIUM,MILK & DIAPERS,,1.0,,,0.67,,,0.67,,,579000.0,,,387930.0,,,1.0,
2117A - GROWING UP MILK MAINSTREAM BOX 120-200G,2117 - GROWING UP MILK MAINSTREAM,MILK & DIAPERS,1.24,1.26,0.0161,133.5,149.67,0.1211,0.83,0.66,-0.2048,18778.0,18862.0,0.0045,15586.0,12449.0,-0.2013,161.0,226.0,0.4037
2117B - GROWING UP MILK MAINSTREAM BOX 350-600G,2117 - GROWING UP MILK MAINSTREAM,MILK & DIAPERS,1.07,1.15,0.0748,464.5,442.33,-0.0477,0.97,0.73,-0.2474,47838.0,52230.0,0.0918,46403.0,38128.0,-0.1783,477.0,605.0,0.2683
2117C - GROWING UP MILK MAINSTREAM BOX 700-1000G,2117 - GROWING UP MILK MAINSTREAM,MILK & DIAPERS,1.29,1.4,0.0853,983.0,940.67,-0.0431,1.1,0.89,-0.1909,99899.0,110012.0,0.1012,109889.0,97911.0,-0.109,895.0,1052.0,0.1754
2117D - GROWING UP SPECIALITY MILK MAINSTREAM,2117 - GROWING UP MILK MAINSTREAM,MILK & DIAPERS,1.4,1.55,0.1071,60.5,42.67,-0.2947,1.19,0.84,-0.2941,118550.0,135211.0,0.1405,141074.0,113577.0,-0.1949,51.0,51.0,0.0
